panel	id	included	function_name	source_file	source_sha256	variant	purpose	audience	input_class	classification	figure	caption	width_mm	height_mm	caption_separate	exclusion_reason	sampling_design	evidence_state
K	stage1-spectrum	TRUE	plot_spectrum	R/14-stage1-plots.R	f7a3fa0627599094ca65016c5f11986291fbfde7c9361f03155648503be813a1	singular-value spectrum	Spectral structure and model-based detectability reference	scientific user	StateTransitionData with Stage 1	public scientific evidence	stage1-spectrum.png	stage1-spectrum-caption.txt	100	100	TRUE		design declared by input	descriptive state-space evidence
L	stage2-potential	TRUE	plot_potential	R/16-stage2-plots.R	ee7b8a9c6bb098660a5adb24b1d8df50b9cf3533653ac5cc0849cb89dcb1f04a	quasi-potential without critical-point overlay	Exploratory one-dimensional state-transition landscape	scientific user	StateTransitionData with Stage 2	public exploratory evidence	stage2-potential.png	stage2-potential-caption.txt	100	100	TRUE		design declared by input	exploratory state-transition evidence
M	stage2-potential-critical-points	TRUE	plot_potential	R/16-stage2-plots.R	ee7b8a9c6bb098660a5adb24b1d8df50b9cf3533653ac5cc0849cb89dcb1f04a	quasi-potential with explicit critical-point overlay	Optional stored-well and barrier-point display	scientific user	StateTransitionData with Stage 2	public exploratory evidence	stage2-potential-critical-points.png	stage2-potential-critical-points-caption.txt	100	100	TRUE		design declared by input	exploratory state-transition evidence
N	k1-operating-domain	TRUE	plot_k1_operating_domain	R/13o-stage0-k1-operating-domain-locator.R	3411955be1827b3a1a5eb00f96be4dc9c752c6a010a8ee4f54b0acac6c7a0467	calibrated operating-domain location	Diagnostic comparison of an experiment with calibrated operating support	scientific user	K1OperatingDomainLocation	public diagnostic evidence	k1-operating-domain.png	k1-operating-domain-caption.txt	100	100	TRUE		independent destructive time-course calibration	diagnostic operating-domain evidence
O	identifiability-primary	TRUE	plot_component_identifiability	R/13e-axis-identifiability.R	46fb36d9e4d5b74429198f4ebcd674538c385ca48101665ff2a5378dd73c1e73	primary axis/subspace summary	Primary numerical-identifiability summary	scientific user	ComponentProposal with identifiability evidence	public diagnostic evidence	identifiability-primary.png	identifiability-primary-caption.txt	100	100	TRUE		cross-sectional resampling	diagnostic identifiability evidence
P	identifiability-diagnostic	TRUE	plot_component_identifiability	R/13e-axis-identifiability.R	46fb36d9e4d5b74429198f4ebcd674538c385ca48101665ff2a5378dd73c1e73	replicate-level recovery diagnostic	Focused diagnostic for loading agreement and effect magnitude	scientific user	ComponentProposal with identifiability evidence	public diagnostic evidence	identifiability-diagnostic.png	identifiability-diagnostic-caption.txt	100	100	TRUE		cross-sectional resampling	diagnostic identifiability evidence
Q	identifiability-audit	TRUE	plot_component_identifiability	R/13e-axis-identifiability.R	46fb36d9e4d5b74429198f4ebcd674538c385ca48101665ff2a5378dd73c1e73	complete identifiability audit surface	Full evidence surface for axis and subspace instability	scientific user	ComponentProposal with identifiability evidence	public diagnostic evidence	identifiability-audit.png	identifiability-audit-caption.txt	100	100	TRUE		cross-sectional resampling	diagnostic identifiability evidence
	k1-acceptance-summary	FALSE	plot_k1_acceptance_summary	R/13k-stage0-k1-acceptance-summary.R	95910f68597b0aa5093086096a5f5f1d357d89ec5181355a53dcc7c27b834647	Stage 0 K=1 acceptance summary	Frozen acceptance validation output	developer/reviewer	K1AcceptanceSummary	excluded development/validation surface						Acceptance calibration and runner proof, not a package user result	calibration/acceptance design not a user result	development/validation output
	k1-aml-acceptance-summary	FALSE	plot_k1_aml_acceptance_summary	R/13k-stage0-k1-acceptance-summary.R	95910f68597b0aa5093086096a5f5f1d357d89ec5181355a53dcc7c27b834647	AML-shaped acceptance summary	Frozen acceptance validation output	developer/reviewer	K1AcceptanceSummary	excluded development/validation surface						Acceptance calibration and runner proof, not a package user result	calibration/acceptance design not a user result	development/validation output
	k1-calibration-outcomes	FALSE	plot_k1_calibration_outcomes	R/13l-stage0-k1-calibration-outcomes.R	097825876d7277e88656f7f0fe666ec703da6cf5f3c88fdf07aa738b66ba9ec7	calibration outcome map	Known-truth calibration diagnostic	developer/reviewer	K1CalibrationOutcomeAssessment	excluded development/validation surface						Simulation calibration output	calibration/acceptance design not a user result	development/validation output
	k1-high-dimensional-calibration	FALSE	plot_k1_high_dimensional_calibration	R/13o-stage0-k1-high-dimensional-calibration.R	470d0759f097d5680c4760ac909e604abad3ee0137a85a7933b32b5b0c5ce624	high-dimensional operating map	Known-truth operating-domain diagnostic	developer/reviewer	K1HighDimensionalCalibrationAssessment	excluded development/validation surface						Simulation operating map	calibration/acceptance design not a user result	development/validation output
	k1-independent-time-course-calibration	FALSE	plot_k1_independent_time_course_calibration	R/13m-stage0-k1-independent-time-course-calibration.R	04a3b5349565b4970b434bc908a8652e71ff83e5c3d8abf108cffa068148b2cb	independent-time-course calibration map	Known-truth calibration diagnostic	developer/reviewer	K1IndependentTimeCourseAssessment	excluded development/validation surface						Simulation calibration output	calibration/acceptance design not a user result	development/validation output
	k1-repeated-subject-calibration	FALSE	plot_k1_repeated_subject_calibration	R/13n-stage0-k1-repeated-subject-calibration.R	fa0e7200c468f60265af6d7a53e81175eb6afe121fc1fffd093647742590baa3	repeated-subject calibration map	Known-truth calibration diagnostic	developer/reviewer	K1RepeatedSubjectAssessment	excluded development/validation surface						Simulation calibration output	calibration/acceptance design not a user result	development/validation output
	k1-revised-acceptance	FALSE	plot_k1_revised_acceptance	R/13p-stage0-k1-revised-acceptance.R	d821d6b84840d45ebd22fb59fb8cd016f24d008285c9b5581e4e17990cf47eaa	reviewed K=1 acceptance operating map	Frozen acceptance-runner proof	developer/reviewer	K1RevisedAcceptanceSummary	excluded development/validation surface						Acceptance runner proof	calibration/acceptance design not a user result	development/validation output
